DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
XHJ;2023-05-30;07:39;;;;T09;NO;No Status;QKL;2023-05-30;08:16;;;;;NO;No Status;2A;3531;TRN;CD;Flight Cancelled
XHJ;2023-05-30;09:39;2023-05-30;09:58;;T09;DP;Flight Departed;QKL;2023-05-30;10:15;2023-05-30;10:30;;;LD;Flight Landed;2A;3533;TRN;LD;Flight Landed
XHJ;2023-05-30;11:39;2023-05-30;11:56;;T09;DP;Flight Departed;QKL;2023-05-30;12:15;2023-05-30;12:30;;;LD;Flight Landed;2A;3535;TRN;LD;Flight Landed
XHJ;2023-05-30;13:39;2023-05-30;13:44;;T09;DP;Flight Departed;QKL;2023-05-30;14:15;2023-05-30;14:20;;;LD;Flight Landed;2A;3537;TRN;LD;Flight Landed
XHJ;2023-05-30;15:39;2023-05-30;15:44;;T09;DP;Flight Departed;QKL;2023-05-30;16:15;2023-05-30;16:18;;;LD;Flight Landed;2A;3539;TRN;LD;Flight Landed
XHJ;2023-05-30;17:39;;;;T09;NO;No Status;QKL;2023-05-30;18:15;;;;;NO;No Status;2A;3541;TRN;CD;Flight Cancelled
XHJ;2023-05-30;19:39;2023-05-30;19:44;;T09;DP;Flight Departed;QKL;2023-05-30;20:15;2023-05-30;20:15;;;LD;Flight Landed;2A;3543;TRN;LD;Flight Landed
INN;2023-05-30;06:40;2023-05-30;07:00;;;DP;Flight Departed;FRA;2023-05-30;07:45;2023-05-30;08:04;1;BSO;LD;Flight Landed;EN;8057;E95;LD;Flight Landed
INN;2023-05-30;08:25;2023-05-30;08:19;;001;DP;Flight Departed;VIE;2023-05-30;09:25;2023-05-30;09:12;3;ARS;LD;Flight Landed;OS;916;E95;LD;Flight Landed
INN;2023-05-30;10:30;2023-05-30;10:52;;;DP;Flight Departed;FRA;2023-05-30;11:35;2023-05-30;12:02;1;BSO;LD;Flight Landed;EN;8051;E95;LD;Flight Landed
INN;2023-05-30;13:40;2023-05-30;13:18;;;DP;Flight Departed;SUF;2023-05-30;15:20;2023-05-30;15:07;;000;LD;Flight Landed;E6;5608;31D;LD;Flight Landed
INN;2023-05-30;13:50;2023-05-30;13:43;;001;DP;Flight Departed;VIE;2023-05-30;14:50;2023-05-30;14:38;3;F31A;LD;Flight Landed;OS;906;E95;LD;Flight Landed
INN;2023-05-30;15:20;2023-05-30;15:35;;;DP;Flight Departed;RHO;2023-05-30;19:00;2023-05-30;19:13;1;;LD;Flight Landed;E6;5636;31D;LD;Flight Landed
INN;2023-05-30;18:50;2023-05-30;18:47;;001;DP;Flight Departed;VIE;2023-05-30;19:50;2023-05-30;19:45;3;F11A;LD;Flight Landed;OS;902;E95;LD;Flight Landed
RNS;2023-05-30;11:00;2023-05-30;11:09;;00B;DP;Flight Departed;FRA;2023-05-30;12:30;2023-05-30;12:42;1;Area A;LD;Flight Landed;CL;1067;CR9;LD;Flight Landed
SZG;2023-05-30;06:10;2023-05-30;06:12;;001;DP;Flight Departed;FRA;2023-05-30;07:15;2023-05-30;07:20;1;A36;LD;Flight Landed;LH;1109;321;LD;Flight Landed
SZG;2023-05-30;06:25;2023-05-30;06:19;;;DP;Flight Departed;RHO;2023-05-30;09:55;2023-05-30;09:50;1;;LD;Flight Landed;E6;4370;31D;LD;Flight Landed
SZG;2023-05-30;06:45;2023-05-30;06:33;;;DP;Flight Departed;BER;2023-05-30;07:50;2023-05-30;07:33;1;A02;LD;Flight Landed;E6;8343;320;LD;Flight Landed
SZG;2023-05-30;08:15;2023-05-30;08:21;;000;DP;Flight Departed;SUF;2023-05-30;09:55;2023-05-30;09:57;;;LD;Flight Landed;E6;5606;31D;LD;Flight Landed
SZG;2023-05-30;09:00;2023-05-30;08:52;;;DP;Flight Departed;HAM;2023-05-30;10:20;2023-05-30;10:17;1;;LD;Flight Landed;EW;7277;31D;LD;Flight Landed
SZG;2023-05-30;09:05;2023-05-30;09:11;;;DP;Flight Departed;DUS;2023-05-30;10:20;2023-05-30;10:28;;B91;LD;Flight Landed;EW;4334;320;LD;Flight Landed
SZG;2023-05-30;10:20;2023-05-30;10:22;;;DP;Flight Departed;PMI;2023-05-30;12:25;2023-05-30;12:15;;;LD;Flight Landed;E6;4368;320;LD;Flight Landed
SZG;2023-05-30;14:40;2023-05-30;15:05;;006;DP;Flight Departed;FRA;2023-05-30;15:45;2023-05-30;16:05;1;BSO;LD;Flight Landed;LH;1105;320;LD;Flight Landed
SZG;2023-05-30;16:10;2023-05-30;16:59;;;DP;Flight Departed;AOK;2023-05-30;19:45;2023-05-30;19:12;;;LD;Flight Landed;E6;4386;320;LD;Flight Landed
SZG;2023-05-30;18:35;;;;;NO;No Status;FRA;2023-05-30;19:40;;;1;A11;NO;No Status;LH;1107;319;CD;Flight Cancelled
SZG;2023-05-30;19:45;2023-05-30;19:49;;;DP;Flight Departed;DUS;2023-05-30;21:00;2023-05-30;20:57;;B93;LD;Flight Landed;EW;9717;32A;LD;Flight Landed
CTA;2023-05-30;10:45;2023-05-30;10:46;;008;DP;Flight Departed;DUS;2023-05-30;13:35;2023-05-30;13:29;;A49;LD;Flight Landed;EW;9815;31D;LD;Flight Landed
CTA;2023-05-30;11:55;2023-05-30;12:04;;010;DP;Flight Departed;MUC;2023-05-30;14:05;2023-05-30;14:02;2;G48;LD;Flight Landed;LH;1907;32M;LD;Flight Landed
CTA;2023-05-30;14:45;2023-05-30;14:49;;;DP;Flight Departed;BRU;2023-05-30;17:35;2023-05-30;17:32;;;LD;Flight Landed;SN;3132;319;LD;Flight Landed
CTA;2023-05-30;15:45;2023-05-30;15:43;;004;DP;Flight Departed;STR;2023-05-30;18:05;2023-05-30;17:56;1;;LD;Flight Landed;EW;2819;31D;LD;Flight Landed
CTA;2023-05-30;18:40;2023-05-30;18:45;;004;DP;Flight Departed;MUC;2023-05-30;20:50;2023-05-30;20:54;2;K12;LD;Flight Landed;4Y;1909;32A;LD;Flight Landed
CTA;2023-05-30;19:25;2023-05-30;19:19;;008;DP;Flight Departed;STR;2023-05-30;21:45;2023-05-30;21:32;1;;LD;Flight Landed;EW;2817;31D;LD;Flight Landed
CTA;2023-05-30;19:25;2023-05-30;19:48;;007;DP;Flight Departed;HAM;2023-05-30;22:25;2023-05-30;22:36;1;;LD;Flight Landed;EW;7815;32N;LD;Flight Landed
CTA;2023-05-30;19:50;2023-05-30;21:09;;018;DP;Flight Departed;CGN;2023-05-30;22:35;2023-05-30;23:52;1;B30;LD;Flight Landed;QS;817;73H;LD;Flight Landed
NTE;2023-05-30;18:30;2023-05-30;19:04;;075;DP;Flight Departed;FRA;2023-05-30;20:05;2023-05-30;20:41;1;Area A;LD;Flight Landed;CL;1057;CR9;LD;Flight Landed
SKP;2023-05-30;04:25;2023-05-30;04:18;;;DP;Flight Departed;VIE;2023-05-30;06:00;2023-05-30;05:45;3;G36A;LD;Flight Landed;OS;778;320;LD;Flight Landed
SKP;2023-05-30;12:40;2023-05-30;12:43;;;DP;Flight Departed;VIE;2023-05-30;14:15;2023-05-30;14:10;3;G36A;LD;Flight Landed;OS;776;E95;LD;Flight Landed
SKP;2023-05-30;14:55;2023-05-30;15:39;;203;DP;Flight Departed;FRA;2023-05-30;17:35;2023-05-30;18:07;1;Area A;LD;Flight Landed;LH;1541;319;LD;Flight Landed
ZTH;2023-05-30;08:40;2023-05-30;08:48;;;DP;Flight Departed;VIE;2023-05-30;09:50;2023-05-30;09:49;3;F17A;LD;Flight Landed;OS;9066;320;LD;Flight Landed
WRO;2023-05-30;06:10;2023-05-30;06:03;;003;DP;Flight Departed;MUC;2023-05-30;07:20;2023-05-30;07:02;2;T02S;LD;Flight Landed;CL;1635;CR9;LD;Flight Landed
WRO;2023-05-30;06:25;2023-05-30;06:43;;003;DP;Flight Departed;FRA;2023-05-30;07:45;2023-05-30;07:58;1;BSO;LD;Flight Landed;CL;1375;CR9;LD;Flight Landed
WRO;2023-05-30;10:55;2023-05-30;12:05;;003;DP;Flight Departed;FRA;2023-05-30;12:20;2023-05-30;13:24;1;BSO;LD;Flight Landed;EN;8767;E95;LD;Flight Landed
WRO;2023-05-30;13:10;2023-05-30;13:10;;003;DP;Flight Departed;MUC;2023-05-30;14:20;2023-05-30;14:12;2;T02S;LD;Flight Landed;CL;1631;CR9;LD;Flight Landed
WRO;2023-05-30;14:50;2023-05-30;15:26;;003;DP;Flight Departed;FRA;2023-05-30;16:10;2023-05-30;16:48;1;Area A;LD;Flight Landed;CL;1373;CR9;LD;Flight Landed
WRO;2023-05-30;18:45;2023-05-30;18:52;;003;DP;Flight Departed;FRA;2023-05-30;20:05;2023-05-30;20:07;1;BSO;LD;Flight Landed;CL;1355;CR9;LD;Flight Landed
ZWS;2023-05-30;05:01;2023-05-30;05:02;;T10;DP;Flight Departed;FRA;2023-05-30;06:35;2023-05-30;06:41;TN;;LD;Flight Landed;2A;3551;TRN;LD;Flight Landed
ZWS;2023-05-30;05:51;2023-05-30;05:52;;T10;DP;Flight Departed;FRA;2023-05-30;07:06;2023-05-30;07:16;TN;T04;LD;Flight Landed;2A;3401;TRN;LD;Flight Landed
ZWS;2023-05-30;06:36;2023-05-30;06:36;;T05;DP;Flight Departed;FRA;2023-05-30;07:51;2023-05-30;07:55;TN;;LD;Flight Landed;2A;3553;TRN;LD;Flight Landed
ZWS;2023-05-30;07:25;2023-05-30;07:28;;T09;DP;Flight Departed;FRA;2023-05-30;08:35;2023-05-30;08:45;TN;T04;LD;Flight Landed;2A;3403;TRN;LD;Flight Landed
ZWS;2023-05-30;07:51;2023-05-30;07:54;;T10;DP;Flight Departed;FRA;2023-05-30;09:06;2023-05-30;09:15;TN;;LD;Flight Landed;2A;3555;TRN;LD;Flight Landed
ZWS;2023-05-30;08:14;2023-05-30;08:22;;T15;DP;Flight Departed;QUL;2023-05-30;09:10;2023-05-30;09:26;;;LD;Flight Landed;2A;3400;TRN;LD;Flight Landed
ZWS;2023-05-30;08:39;2023-05-30;08:42;;T10;DP;Flight Departed;FRA;2023-05-30;09:51;2023-05-30;10:01;TN;;LD;Flight Landed;2A;3557;TRN;LD;Flight Landed
ZWS;2023-05-30;09:23;2023-05-30;09:27;;T05;DP;Flight Departed;FRA;2023-05-30;10:35;2023-05-30;10:41;TN;;LD;Flight Landed;2A;3405;TRN;LD;Flight Landed
ZWS;2023-05-30;09:28;2023-05-30;09:47;;T16;DP;Flight Departed;QUL;2023-05-30;10:10;2023-05-30;11:15;;;LD;Flight Landed;2A;3402;TRN;LD;Flight Landed
ZWS;2023-05-30;09:51;2023-05-30;10:35;;T09;DP;Flight Departed;FRA;2023-05-30;11:06;2023-05-30;11:51;TN;T04;LD;Flight Landed;2A;3407;TRN;LD;Flight Landed
ZWS;2023-05-30;10:14;2023-05-30;10:30;;T16;DP;Flight Departed;QUL;2023-05-30;11:10;2023-05-30;11:38;;;LD;Flight Landed;2A;3404;TRN;LD;Flight Landed
ZWS;2023-05-30;10:37;;;;T10;NO;No Status;FRA;2023-05-30;11:51;;;TN;;NO;No Status;2A;3559;TRN;CD;Flight Cancelled
ZWS;2023-05-30;11:23;2023-05-30;11:23;;T10;DP;Flight Departed;FRA;2023-05-30;12:35;2023-05-30;12:38;TN;;LD;Flight Landed;2A;3561;TRN;LD;Flight Landed
ZWS;2023-05-30;11:28;2023-05-30;11:36;;T16;DP;Flight Departed;QUL;2023-05-30;12:10;2023-05-30;12:23;;;LD;Flight Landed;2A;3408;TRN;LD;Flight Landed
ZWS;2023-05-30;11:51;2023-05-30;12:03;;T10;DP;Flight Departed;FRA;2023-05-30;13:06;2023-05-30;13:21;TN;T04;LD;Flight Landed;2A;3411;TRN;LD;Flight Landed
ZWS;2023-05-30;12:14;2023-05-30;12:21;;T10;DP;Flight Departed;QUL;2023-05-30;13:10;2023-05-30;13:20;;;LD;Flight Landed;2A;3410;TRN;LD;Flight Landed
ZWS;2023-05-30;12:38;2023-05-30;12:41;;T10;DP;Flight Departed;FRA;2023-05-30;13:51;2023-05-30;13:59;TN;;LD;Flight Landed;2A;3563;TRN;LD;Flight Landed
ZWS;2023-05-30;13:23;2023-05-30;13:25;;T05;DP;Flight Departed;FRA;2023-05-30;14:35;2023-05-30;14:41;TN;;LD;Flight Landed;2A;3565;TRN;LD;Flight Landed
ZWS;2023-05-30;13:28;2023-05-30;13:47;;T16;DP;Flight Departed;QUL;2023-05-30;14:10;2023-05-30;14:32;;;LD;Flight Landed;2A;3552;TRN;LD;Flight Landed
ZWS;2023-05-30;13:51;2023-05-30;13:55;;T09;DP;Flight Departed;FRA;2023-05-30;15:06;2023-05-30;15:11;TN;T04;LD;Flight Landed;2A;3417;TRN;LD;Flight Landed
ZWS;2023-05-30;14:14;2023-05-30;14:22;;T16;DP;Flight Departed;QUL;2023-05-30;15:10;2023-05-30;15:06;;;LD;Flight Landed;2A;3414;TRN;LD;Flight Landed
ZWS;2023-05-30;15:23;2023-05-30;15:25;;T09;DP;Flight Departed;FRA;2023-05-30;16:35;2023-05-30;16:42;TN;;LD;Flight Landed;2A;3567;TRN;LD;Flight Landed
ZWS;2023-05-30;15:51;2023-05-30;15:57;;T10;DP;Flight Departed;FRA;2023-05-30;17:06;2023-05-30;17:12;TN;T04;LD;Flight Landed;2A;3419;TRN;LD;Flight Landed
ZWS;2023-05-30;16:14;2023-05-30;16:36;;T15;DP;Flight Departed;QUL;2023-05-30;17:10;2023-05-30;17:38;;;LD;Flight Landed;2A;3416;TRN;LD;Flight Landed
ZWS;2023-05-30;16:37;2023-05-30;16:40;;T10;DP;Flight Departed;FRA;2023-05-30;17:51;2023-05-30;17:55;TN;;LD;Flight Landed;2A;3421;TRN;LD;Flight Landed
ZWS;2023-05-30;17:23;2023-05-30;17:51;;T09;DP;Flight Departed;FRA;2023-05-30;18:35;2023-05-30;19:02;TN;;LD;Flight Landed;2A;3423;TRN;LD;Flight Landed
ZWS;2023-05-30;17:28;2023-05-30;17:30;;T16;DP;Flight Departed;QUL;2023-05-30;18:10;2023-05-30;18:18;;;LD;Flight Landed;2A;3558;TRN;LD;Flight Landed
ZWS;2023-05-30;17:51;2023-05-30;17:55;;T10;DP;Flight Departed;FRA;2023-05-30;19:06;2023-05-30;19:12;TN;T04;LD;Flight Landed;2A;3425;TRN;LD;Flight Landed
ZWS;2023-05-30;18:14;2023-05-30;18:19;;T16;DP;Flight Departed;QUL;2023-05-30;19:10;2023-05-30;19:22;;;LD;Flight Landed;2A;3420;TRN;LD;Flight Landed
ZWS;2023-05-30;18:38;2023-05-30;19:29;;T10;DP;Flight Departed;FRA;2023-05-30;19:51;2023-05-30;20:42;TN;T04;LD;Flight Landed;2A;3427;TRN;LD;Flight Landed
ZWS;2023-05-30;19:28;;;;T15;NO;No Status;QUL;2023-05-30;20:10;;;;;NO;No Status;2A;3560;TRN;CD;Flight Cancelled
ZWS;2023-05-30;19:51;2023-05-30;19:56;;T09;DP;Flight Departed;FRA;2023-05-30;21:06;2023-05-30;21:10;TN;;LD;Flight Landed;2A;3429;TRN;LD;Flight Landed
ZWS;2023-05-30;20:14;2023-05-30;20:22;;T16;DP;Flight Departed;QUL;2023-05-30;21:10;2023-05-30;21:25;;;LD;Flight Landed;2A;3424;TRN;LD;Flight Landed
ZWS;2023-05-30;21:28;2023-05-30;21:27;;T16;DP;Flight Departed;QUL;2023-05-30;22:10;2023-05-30;22:11;;;LD;Flight Landed;2A;3562;TRN;LD;Flight Landed
ZWS;2023-05-30;22:14;2023-05-30;22:52;;T16;DP;Flight Departed;QUL;2023-05-30;23:10;2023-05-30;23:37;;;LD;Flight Landed;2A;3428;TRN;LD;Flight Landed
TLL;2023-05-30;06:00;2023-05-30;06:12;;006;DP;Flight Departed;FRA;2023-05-30;07:30;2023-05-30;07:30;1;BSO;LD;Flight Landed;LH;885;32N;LD;Flight Landed
TLL;2023-05-30;13:50;2023-05-30;15:17;;006;DP;Flight Departed;FRA;2023-05-30;15:20;2023-05-30;16:33;1;BSO;LD;Flight Landed;LH;881;32N;LD;Flight Landed
TLL;2023-05-30;18:25;2023-05-30;18:57;;006;DP;Flight Departed;FRA;2023-05-30;19:55;2023-05-30;20:16;1;BSO;LD;Flight Landed;LH;883;32N;LD;Flight Landed
LEJ;2023-05-30;06:05;2023-05-30;05:59;;024;DP;Flight Departed;FRA;2023-05-30;07:05;2023-05-30;07:00;1;Area A;LD;Flight Landed;CL;157;E90;LD;Flight Landed
LEJ;2023-05-30;08:00;2023-05-30;07:48;;025;DP;Flight Departed;VIE;2023-05-30;09:10;2023-05-30;08:56;3;F22A;LD;Flight Landed;OS;252;E95;LD;Flight Landed
LEJ;2023-05-30;08:30;2023-05-30;08:52;;024;DP;Flight Departed;FRA;2023-05-30;09:30;2023-05-30;10:09;1;Area A;LD;Flight Landed;LH;159;319;LD;Flight Landed
LEJ;2023-05-30;10:25;2023-05-30;10:21;;004;DP;Flight Departed;FRA;2023-05-30;11:25;2023-05-30;11:42;1;Area A;LD;Flight Landed;CL;161;CR9;LD;Flight Landed
LEJ;2023-05-30;10:45;2023-05-30;11:00;;025;DP;Flight Departed;PMI;2023-05-30;13:20;2023-05-30;13:17;;;LD;Flight Landed;E6;6801;32A;LD;Flight Landed
LEJ;2023-05-30;12:30;2023-05-30;13:23;;024;DP;Flight Departed;MUC;2023-05-30;13:30;2023-05-30;14:31;2;K10;LD;Flight Landed;CL;2167;31K;LD;Flight Landed
LEJ;2023-05-30;15:15;2023-05-30;16:51;;014;DP;Flight Departed;FRA;2023-05-30;16:15;2023-05-30;17:58;1;Area A;LD;Flight Landed;CL;163;E90;LD;Flight Landed
LEJ;2023-05-30;16:30;2023-05-30;16:57;;004;DP;Flight Departed;MUC;2023-05-30;17:30;2023-05-30;17:52;2;T02S;LD;Flight Landed;CL;2169;CR9;LD;Flight Landed
LEJ;2023-05-30;19:55;2023-05-30;19:54;;024;DP;Flight Departed;VIE;2023-05-30;21:05;2023-05-30;20:58;3;F11A;LD;Flight Landed;OS;254;E95;LD;Flight Landed
LJU;2023-05-30;07:05;2023-05-30;07:49;;0A1;DP;Flight Departed;FRA;2023-05-30;08:35;2023-05-30;09:20;1;Area A;LD;Flight Landed;CL;1461;CR9;LD;Flight Landed
LJU;2023-05-30;11:00;2023-05-30;11:49;;0A3;DP;Flight Departed;FRA;2023-05-30;12:25;2023-05-30;13:11;1;Area A;LD;Flight Landed;CL;1459;E90;LD;Flight Landed
LJU;2023-05-30;13:10;2023-05-30;13:17;;0A2;DP;Flight Departed;MUC;2023-05-30;14:05;2023-05-30;14:18;2;T02S;LD;Flight Landed;CL;1697;CR9;LD;Flight Landed
LJU;2023-05-30;14:00;2023-05-30;14:55;;0A1;DP;Flight Departed;FRA;2023-05-30;15:25;2023-05-30;16:18;1;Area A;LD;Flight Landed;CL;1463;CR9;LD;Flight Landed
LJU;2023-05-30;14:50;2023-05-30;15:44;;;DP;Flight Departed;ZRH;2023-05-30;16:05;2023-05-30;16:46;;;LD;Flight Landed;2L;2277;295;LD;Flight Landed
LJU;2023-05-30;16:40;2023-05-30;16:39;;;DP;Flight Departed;BRU;2023-05-30;18:25;2023-05-30;18:19;;;LD;Flight Landed;SN;3344;319;LD;Flight Landed
SCN;2023-05-30;17:35;2023-05-30;17:50;;;DP;Flight Departed;PMI;2023-05-30;19:30;2023-05-30;19:32;;;LD;Flight Landed;E6;6819;32A;LD;Flight Landed
DBV;2023-05-30;12:55;2023-05-30;12:58;;;DP;Flight Departed;VIE;2023-05-30;14:20;2023-05-30;14:15;3;F08A;LD;Flight Landed;OS;732;321;LD;Flight Landed
DBV;2023-05-30;15:45;2023-05-30;17:40;;;DP;Flight Departed;DUS;2023-05-30;18:00;2023-05-30;19:52;;B91;LD;Flight Landed;EW;9953;31D;LD;Flight Landed
DBV;2023-05-30;16:45;2023-05-30;16:45;;;DP;Flight Departed;MUC;2023-05-30;18:20;2023-05-30;18:26;2;K05;LD;Flight Landed;LH;1711;32N;LD;Flight Landed
DBV;2023-05-30;18:55;2023-05-30;20:07;;;DP;Flight Departed;FRA;2023-05-30;20:55;2023-05-30;21:59;1;BSO;LD;Flight Landed;4Y;901;32A;LD;Flight Landed
KJR;2023-05-30;07:00;2023-05-30;07:01;;T03;DP;Flight Departed;MHJ;2023-05-30;07:24;2023-05-30;07:24;;;LD;Flight Landed;2A;3433;TRN;LD;Flight Landed
KJR;2023-05-30;09:00;2023-05-30;09:00;;T02;DP;Flight Departed;QFB;2023-05-30;10:04;2023-05-30;10:06;;;LD;Flight Landed;2A;3430;TRN;LD;Flight Landed
KJR;2023-05-30;09:00;2023-05-30;09:01;;T03;DP;Flight Departed;MHJ;2023-05-30;09:24;2023-05-30;09:27;;;LD;Flight Landed;2A;3437;TRN;LD;Flight Landed
KJR;2023-05-30;11:00;2023-05-30;11:04;;T02;DP;Flight Departed;QFB;2023-05-30;12:01;2023-05-30;12:18;;;LD;Flight Landed;2A;3432;TRN;LD;Flight Landed
KJR;2023-05-30;11:00;2023-05-30;11:14;;T03;DP;Flight Departed;MHJ;2023-05-30;11:24;2023-05-30;11:37;;;LD;Flight Landed;2A;3441;TRN;LD;Flight Landed
KJR;2023-05-30;13:00;2023-05-30;13:11;;T02;DP;Flight Departed;QFB;2023-05-30;14:01;2023-05-30;14:10;;;LD;Flight Landed;2A;3434;TRN;LD;Flight Landed
KJR;2023-05-30;13:00;2023-05-30;13:00;;T03;DP;Flight Departed;MHJ;2023-05-30;13:24;2023-05-30;13:24;;;LD;Flight Landed;2A;3445;TRN;LD;Flight Landed
